condition,w,sigma_d,seed,handoff,n_reached,w2
A0.003,0.2,0.0,2,1,200,0.0209522692868557
A0.003,0.2,0.0,2,2,200,0.017636047829971323
A0.003,0.2,0.0,3,1,200,0.02549939835932094
A0.003,0.2,0.0,3,2,200,0.03871253799794091
A0.003,0.2,0.0,4,1,200,0.019109191557761522
A0.003,0.2,0.0,4,2,200,0.020074941529763513
A0.003,0.2,0.02,0,1,200,0.03742905255504774
A0.003,0.2,0.02,0,2,200,0.023162005841402968
A0.003,0.2,0.02,1,1,200,0.036125654147099465
A0.003,0.2,0.02,1,2,200,0.028330658647753297
A0.003,0.2,0.02,2,1,200,0.017316443688469164
A0.003,0.2,0.02,2,2,200,0.020001222414089338
A0.003,0.2,0.02,3,1,200,0.02823741184504236
A0.003,0.2,0.02,3,2,200,0.03867526912956563
A0.003,0.2,0.02,4,1,200,0.019962018127881516
A0.003,0.2,0.02,4,2,200,0.021617975449666423
A0.003,0.2,0.05,0,1,200,0.04421236165289072
A0.003,0.2,0.05,0,2,200,0.02990606486643009
A0.003,0.2,0.05,1,1,200,0.0367453279976152
A0.003,0.2,0.05,1,2,200,0.025243109224205713
A0.003,0.2,0.05,2,1,200,0.021168848175355463
A0.003,0.2,0.05,2,2,200,0.023235166900719865
A0.003,0.2,0.05,3,1,200,0.029303563073643117
A0.003,0.2,0.05,3,2,200,0.03270021284512948
A0.003,0.2,0.05,4,1,200,0.027844457722265254
A0.003,0.2,0.05,4,2,200,0.02067168602503582
A0.003,0.2,0.1,0,1,200,0.04265020665562189
A0.003,0.2,0.1,0,2,200,0.04689719088822458
A0.003,0.2,0.1,1,1,200,0.03042352030860306
A0.003,0.2,0.1,1,2,200,0.03418931624949779
A0.003,0.2,0.1,2,1,200,0.020187997620749822
A0.003,0.2,0.1,2,2,200,0.03698472300017823
A0.003,0.2,0.1,3,1,200,0.024947054631560148
A0.003,0.2,0.1,3,2,200,0.05166595415492446
A0.003,0.2,0.1,4,1,200,0.021671438246048794
A0.003,0.2,0.1,4,2,200,0.03032745644456542
A0.003,0.4,0.0,0,1,200,0.04847615641597351
