kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.2,2,3,1,0.08396077156066895,0.008599081076681614,0.0293964830238883,0.001999974250793457
bridge,0.2,2,3,2,0.08789945393800735,0.009026388637721539,0.03350102328708591,0.0059999823570251465
bridge,0.2,2,3,3,0.08493686467409134,0.00881558284163475,0.02989555950846065,0.0059999823570251465
bridge,0.2,2,3,4,0.08482266217470169,0.009214977733790874,0.03693538064431819,0.001999974250793457
bridge,0.2,2,3,5,0.08992776274681091,0.008824270218610764,0.033765859761781376,0.00999993085861206
bridge,0.2,3,1,0,0.10490620136260986,0.006116910837590694,0.02571455921800728,0.01399993896484375
bridge,0.2,3,1,1,0.08204200863838196,0.005823215469717979,0.016367845957104787,0.019999980926513672
bridge,0.2,3,1,2,0.08514227718114853,0.005995939485728741,0.019531706712880646,0.02199995517730713
bridge,0.2,3,1,3,0.08495748043060303,0.005619899369776249,0.013558615222960467,0.00999993085861206
bridge,0.2,3,1,4,0.09015125036239624,0.00614458043128252,0.021188408973738714,0.0059999823570251465
bridge,0.2,3,1,5,0.08242834359407425,0.006197140086442232,0.022198960337769438,0.007999956607818604
bridge,0.2,3,2,0,0.04007037729024887,0.006080402992665768,0.027988418020286735,0.2919999957084656
bridge,0.2,3,2,1,0.034906018525362015,0.0057693663984537125,0.025726523910104316,0.28199994564056396
bridge,0.2,3,2,2,0.03289535269141197,0.006242689676582813,0.026979988228453655,0.2799999713897705
bridge,0.2,3,2,3,0.03364839032292366,0.0062594907358288765,0.028927831727713266,0.2799999713897705
bridge,0.2,3,2,4,0.031503092497587204,0.006176475435495377,0.03336020024958774,0.31199997663497925
bridge,0.2,3,2,5,0.032978080213069916,0.00582941435277462,0.023985043605460415,0.3139999508857727
bridge,0.2,3,3,0,0.10466496646404266,0.008655213750898838,0.02915689449041116,0.001999974250793457
bridge,0.2,3,3,1,0.0872483029961586,0.008318496868014336,0.02406633613897299,0.00999993085861206
bridge,0.2,3,3,2,0.08563685417175293,0.00895041786134243,0.03493782931067258,0.001999974250793457
bridge,0.2,3,3,3,0.08630342781543732,0.008295996114611626,0.02443990201458724,0.0
bridge,0.2,3,3,4,0.08680466562509537,0.00861397571861744,0.026861479415874603,0.0059999823570251465
bridge,0.2,3,3,5,0.08506105095148087,0.008323135785758495,0.02464252307082786,0.003999948501586914
bridge,0.2,4,1,0,0.10511038452386856,0.005971078295260668,0.022546747790731812,0.007999956607818604
bridge,0.2,4,1,1,0.08696465939283371,0.005897464230656624,0.01979280682431361,0.0059999823570251465
bridge,0.2,4,1,2,0.08785919845104218,0.005869009997695684,0.020022856137237623,0.0059999823570251465
bridge,0.2,4,1,3,0.0912468284368515,0.005724876653403044,0.01648109027865503,0.0059999823570251465
bridge,0.2,4,1,4,0.08578424155712128,0.006061215419322252,0.02331353456192024,0.01399993896484375
bridge,0.2,4,1,5,0.09001241624355316,0.005703955888748169,0.018164396159684234,0.007999956607818604
bridge,0.2,4,2,0,0.04025791585445404,0.005676025524735451,0.020541059167605954,0.2799999713897705
bridge,0.2,4,2,1,0.03506440296769142,0.0062811425887048244,0.02981181195194446,0.26399993896484375
bridge,0.2,4,2,2,0.035353247076272964,0.006127585656940937,0.031073115586313985,0.28599995374679565
bridge,0.2,4,2,3,0.03509584441781044,0.005809762515127659,0.02631520948797203,0.31199997663497925
bridge,0.2,4,2,4,0.03351443260908127,0.005723362788558006,0.027658218123151532,0.2619999647140503
